predictor_a,predictor_b,length_bin,n_common_proteins,protein_mean_score_spearman
ADOPT,DisorderUnetLM,500-999,5675,0.7229501309075755
ADOPT,DisorderUnetLM,>=1000,2422,0.5747404535274735
ADOPT,DisPredict3,<200,3835,0.5970454768708033
ADOPT,DisPredict3,200-499,8705,0.6853376787519587
ADOPT,DisPredict3,500-999,5670,0.503840255642074
ADOPT,DisPredict3,>=1000,2386,0.43559791535213715
metapredict,PUNCH2_light,<200,3746,0.8374833121849243
metapredict,PUNCH2_light,200-499,8704,0.9484603969250573
metapredict,PUNCH2_light,500-999,5670,0.9651544343345625
metapredict,PUNCH2_light,>=1000,1957,0.971857290032957
metapredict,DisoFLAG,<200,3847,0.6025238054088305
metapredict,DisoFLAG,200-499,8715,0.7866804290314824
metapredict,DisoFLAG,500-999,5675,0.7937803174650203
metapredict,DisoFLAG,>=1000,1958,0.7306128137888068
metapredict,DisorderUnetLM,<200,3847,0.8110505412186578
metapredict,DisorderUnetLM,200-499,8715,0.8338151456523674
metapredict,DisorderUnetLM,500-999,5675,0.7078834432275173
metapredict,DisorderUnetLM,>=1000,2422,0.6338267992271843
metapredict,DisPredict3,<200,3835,0.5717256454904386
metapredict,DisPredict3,200-499,8705,0.7123798347979863
metapredict,DisPredict3,500-999,5670,0.5317430137285704
metapredict,DisPredict3,>=1000,2386,0.4276969741096809
PUNCH2_light,DisoFLAG,<200,3746,0.6319007537473438
PUNCH2_light,DisoFLAG,200-499,8704,0.8078586653496146
PUNCH2_light,DisoFLAG,500-999,5670,0.8283458528397296
PUNCH2_light,DisoFLAG,>=1000,1957,0.7702286399484682
PUNCH2_light,DisorderUnetLM,<200,3746,0.8268333932674626
PUNCH2_light,DisorderUnetLM,200-499,8704,0.8564102790326593
PUNCH2_light,DisorderUnetLM,500-999,5670,0.7432842064697008
PUNCH2_light,DisorderUnetLM,>=1000,1957,0.6365064561381009
PUNCH2_light,DisPredict3,<200,3746,0.5505253547050242
PUNCH2_light,DisPredict3,200-499,8704,0.7125560659448756
PUNCH2_light,DisPredict3,500-999,5670,0.5082001580349726
PUNCH2_light,DisPredict3,>=1000,1957,0.48389312580597404
