dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,protein_spearman,0.485714,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,protein_pearson,0.832239,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,protein_mae,0.195648,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,plddt,exact,sequence,,,6,1412,continuous,continuous,protein_rmse,0.305374,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,auroc,0.307951,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,average_precision,0.069130,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,f1_thresholded,0.162162,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,spearman,-0.151455,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,protein_spearman,0.464286,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,protein_pearson,0.588328,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,protein_mae,0.676296,0.5,
pdbflex,disprot,exact,sequence,,,7,2335,continuous,binary,protein_rmse,1.514513,0.5,
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,spearman,0.295052,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,pearson,0.514756,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,mae,0.390633,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,rmse,0.455516,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,protein_spearman,,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; protein-level correlation undefined because one annotation has fewer than two values
atlas,plddt,exact,sequence,,,2,424,continuous,continuous,protein_pearson,,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; protein-level correlation undefined because one annotation has fewer than two values
atlas,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
plddt,disprot,exact,none,,,0,0,continuous,binary,no_overlap,,0.5,no exact ID or exact sequence overlap with enough comparable residues
