dataset_a,dataset_b,comparison_level,match_mode,min_identity,min_coverage,n_proteins_overlap,n_residues_compared,annotation_type_a,annotation_type_b,metric,value,threshold_used,notes
trizod,atlas,mmseqs_90,mmseqs,90.0,0.8,8,1232,continuous,continuous,mae,0.420597,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_90,mmseqs,90.0,0.8,8,1232,continuous,continuous,rmse,0.471996,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_85,mmseqs,85.0,0.8,9,1308,continuous,continuous,spearman,0.175862,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_85,mmseqs,85.0,0.8,9,1308,continuous,continuous,pearson,0.421738,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_85,mmseqs,85.0,0.8,9,1308,continuous,continuous,mae,0.419349,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_85,mmseqs,85.0,0.8,9,1308,continuous,continuous,rmse,0.468416,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_80,mmseqs,80.0,0.8,9,1308,continuous,continuous,spearman,0.175862,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_80,mmseqs,80.0,0.8,9,1308,continuous,continuous,pearson,0.421738,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_80,mmseqs,80.0,0.8,9,1308,continuous,continuous,mae,0.419349,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,atlas,mmseqs_80,mmseqs,80.0,0.8,9,1308,continuous,continuous,rmse,0.468416,0.5,MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,spearman,0.504646,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,pearson,0.379056,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,mae,0.319844,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,exact,sequence,,,2,283,continuous,continuous,rmse,0.446339,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100
trizod,plddt,mmseqs_100,mmseqs,100.0,0.8,3,378,continuous,continuous,spearman,0.495451,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_100,mmseqs,100.0,0.8,3,378,continuous,continuous,pearson,0.420713,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_100,mmseqs,100.0,0.8,3,378,continuous,continuous,mae,0.288823,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
trizod,plddt,mmseqs_100,mmseqs,100.0,0.8,3,378,continuous,continuous,rmse,0.411263,0.5,pLDDT converted to disorder score as 1 - pLDDT / 100; MMseqs local alignment; only aligned residue pairs without gaps and with valid labels compared
